country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp
NGA,2007,,1815.52697545827,3.90997243,50.381,0.13223
NGA,2008,,2154.10543545364,3.69581532,50.748,
NGA,2009,,1820.48633854782,3.5801971,51.08,
NGA,2010,,2202.25672957344,3.29653287,51.315,
NGA,2011,,2418.41316975875,3.32077932,51.49,
NGA,2012,0.549233086121929,2633.19734671361,3.35984254,51.688,
NGA,2013,0.534206768008091,2872.79083379398,3.4206934,51.827,
NGA,2014,0.470742539133469,3088.72131316169,3.34840417,51.94,
NGA,2015,0.436954905120644,2585.73360671797,3.58194995,51.939,
NGA,2016,0.393045646249364,2070.4127339595,3.64773679,52.189,
NGA,2017,0.396354013591345,1876.34027111773,3.74762511,52.397,
NGA,2018,0.419998493796127,2057.87944554011,3.09069347,52.669,
NGA,2019,0.358479005206684,3189.81286498516,2.98547053,53.009,0.28444
NGA,2020,0.35963763718498,2797.18458068686,3.38063431,53.072,
NGA,2021,0.381919104397325,2787.48779224428,4.07625723,53.455,
NGA,2022,0.348516707890877,2899.16047470324,4.21020174,54.079,
NGA,2023,0.319069049792343,2138.76383719983,4.19086456,54.462,
NGA,2024,,1084.16041805436,,54.635,
NLD,1995,4.57215023040771,29301.1940492376,,77.4046341463415,
NLD,1996,4.48540019989014,29063.6236532536,,77.4356097560976,1.83733
NLD,1997,,26744.9601318097,,77.7943902439024,1.84171
NLD,1998,4.53430986404419,27924.281808994,,77.8829268292683,1.73966
NLD,1999,4.4996600151062,28318.7466538357,,77.8365853658537,1.81986
NLD,2000,4.58325004577637,26225.1697734149,7.70382404,77.9878048780488,1.78907
NLD,2001,4.68933010101318,26955.7128032278,8.04176903,78.190243902439,1.79214
NLD,2002,4.78904008865356,29446.5330872868,8.61879349,78.2926829268293,1.73931
NLD,2003,5.0199499130249,35896.7504630706,9.01979256,78.4926829268293,1.77665
