country_iso3,year,region,income_group,gdp_per_capita_usd,life_expectancy,health_spend_pct_gdp,education_spend_pct_gdp,rd_spend_pct_gdp,wui,wui_volatility
KWT,2006,Middle East,High,42946.6374104066,76.8876829268293,1.8213098,3.75997996330261,0.08479,0.146165525,0.05421858951518228
KWT,2007,Middle East,High,45709.4132876371,77.0101707317073,1.92673647,3.979575925811927,0.08585,0.1843389,0.15300336997221117
KWT,2008,Middle East,High,55585.1889344442,77.1890487804878,1.92400301,4.199171888321244,0.08551,0.17391304999999999,0.11421246847860643
KWT,2009,Middle East,High,37907.1001320042,77.4333658536585,2.70638776,4.418767850830561,0.11213,0.1309535,0.10073638076927983
KWT,2010,Middle East,High,39212.252220155,77.7262195121951,2.67879915,4.638363813339878,0.1014,0.139770825,0.10652265112861754
KWT,2011,Middle East,High,49169.6063813095,78.052243902439,2.33303547,4.857959775849195,0.09898,0.21901567500000002,0.09281959377693824
KWT,2012,Middle East,High,52155.2225833921,78.3950243902439,2.33311439,5.077555738358512,0.09721,0.2020467,0.10855943935107623
KWT,2013,Middle East,High,49651.0439275077,78.7418048780488,2.48789287,5.297151700867829,0.30153,0.17753315,0.14433919678409143
KWT,2014,Middle East,High,44368.7813457751,79.0803414634146,2.9159987,5.516747663377146,0.42705,0.07441905,0.09636026153902863
KWT,2015,Middle East,High,29882.2126495698,79.3765609756098,4.21497965,5.736343625886462,0.0966,0.047787625,0.055199059429811244
KWT,2016,Middle East,High,27323.6890735517,79.6775853658537,4.73096323,5.95593958839578,0.07985,0.043683200000000005,0.05049358437082214
KWT,2017,Middle East,High,29047.6536135703,79.9160731707317,4.65326786,6.35444222156987,0.0804,0.125631375,0.14003672910555467
KWT,2018,Middle East,High,32067.9623756889,80.1063658536585,5.17201853,6.39165256830382,0.06329,0.042546175,0.04917219247544795
KWT,2019,Middle East,High,31707.8737443551,81.969756097561,5.18200397,6.72789551402991,0.18512,0.08527167499999999,0.06185920119493812
KWT,2020,Middle East,High,25236.0755848941,78.7609756097561,6.11295223,6.24513034913966,0.17805,0.110482075,0.034116250246803204
KWT,2021,Middle East,High,34018.6342592913,78.7365853658537,5.37273169,7.76246706467929,0.129075,0.1861565,0.10117175916908171
KWT,2022,Middle East,High,39981.7691035833,80.5878048780488,4.20024538,6.58236499988891,0.0801,0.129986,0.08781564149910881
KWT,2023,Middle East,High,34075.849012909,83.1878048780488,4.96311998,5.0262608311279,0.09547,0.267889175,0.21524012780973062
KWT,2024,Middle East,High,32717.7186631255,84.580487804878,4.96311998,6.43592667889685,0.08954,0.092620325,0.0015423919851429875
MAR,1995,Middle East,Lower-middle,1466.78820800781,64.725,3.69304585,4.73479986190796,0.24582,0.048394975,0.05850221185404732
MAR,1996,Middle East,Lower-middle,1596.83239746094,65.226,3.69304585,4.689666589101156,0.24582,0.0639162,0.042941304390994
MAR,1997,Middle East,Lower-middle,1426.30114746094,65.616,3.69304585,4.644533316294353,0.24582,0.02032025,0.0406405
MAR,1998,Middle East,Lower-middle,1668.49755859375,66.008,3.69304585,4.59940004348755,0.24582,0.072027325,0.05604418370169349
MAR,1999,Middle East,Lower-middle,1635.65673828125,66.404,3.69304585,4.62527990341187,0.34598,0.02595785,0.0519157
MAR,2000,Middle East,Lower-middle,1499.107421875,66.794,3.69304585,4.650625493791372,0.44614,0.0464972,0.0929944
MAR,2001,Middle East,Lower-middle,1506.24523925781,67.2,3.81601191,4.675971084170874,0.5463,0.118334,0.16767071560651253
MAR,2002,Middle East,Lower-middle,1596.02062988281,67.582,4.06117535,4.701316674550377,0.47179,0.31105547499999997,0.1659645411159941
MAR,2003,Middle East,Lower-middle,1941.87255859375,67.958,4.08037519,4.726662264929879,0.56588,0.14324947500000001,0.14589053927725804
MAR,2004,Middle East,Lower-middle,2183.55541992188,68.272,4.23211098,4.7520078553093805,0.5605433333333334,0.045067949999999996,0.03005414409389605
MAR,2005,Middle East,Lower-middle,2242.98828125,68.748,4.37350655,4.777353445688883,0.5552066666666666,0.07089215,0.08480237777033928
MAR,2006,Middle East,Lower-middle,2438.12646484375,69.157,4.56586647,4.802699036068385,0.54987,0.0,0.0
MAR,2007,Middle East,Lower-middle,2755.5859375,69.62,4.80759001,4.828044626447888,0.5774925,0.031281275,0.06256255
MAR,2008,Middle East,Lower-middle,3183.20043945313,70.051,4.83789158,4.85339021682739,0.605115,0.026249475,0.05249895
MAR,2009,Middle East,Lower-middle,3119.58862304688,70.454,5.27312183,4.83119010925293,0.6327375,0.14517055,0.04658992455460015
MAR,2010,Middle East,Lower-middle,3067.9853515625,70.821,5.41861057,5.07177620142598,0.66036,0.080563475,0.0537382664482443
MAR,2011,Middle East,Lower-middle,3301.98876953125,71.263,5.37019396,5.31236229359903,0.66036,0.0506529,0.058497215143457904
MAR,2012,Middle East,Lower-middle,3164.17724609375,71.674,5.39619017,5.55294838577208,0.66036,0.0,0.0
MAR,2013,Middle East,Lower-middle,3379.7431640625,72.117,5.25540543,5.5178543760996455,0.66036,0.07461945,0.1492389
MAR,2014,Middle East,Lower-middle,3435.40698242188,72.522,5.41626596,5.48276036642721,0.66036,0.0,0.0
MAR,2015,Middle East,Lower-middle,3146.24780273438,72.894,5.10435581,5.133369043677,0.66036,0.092700225,0.06242485252949475
MAR,2016,Middle East,Lower-middle,3140.85546875,73.228,5.09203386,5.08530197423073,0.66036,0.07686,0.15372
MAR,2017,Middle East,Lower-middle,3296.52661132813,73.608,4.98920393,4.73564982004448,0.66036,0.18537522499999998,0.14928952795119008
MAR,2018,Middle East,Lower-middle,3501.69799804688,73.946,4.94516659,4.96022713486949,0.66036,0.105603425,0.09758396762530121
MAR,2019,Middle East,Lower-middle,3508.09765625,74.245,5.020401,5.0032567210502,0.66036,0.03236665,0.0647333
MAR,2020,Middle East,Lower-middle,3268.0302734375,73.133,5.78939486,6.28428263644307,0.66036,0.19364112500000003,0.223598138720777
MAR,2021,Middle East,Lower-middle,3785.93627929688,73.385,5.45314503,5.64273401285138,0.66036,0.1661609,0.16201066307678638
MAR,2022,Middle East,Lower-middle,3463.1376953125,75.161,5.75281,5.91224674061277,0.66036,0.156480175,0.19001291718926858
MAR,2023,Middle East,Lower-middle,3813.72607421875,75.313,6.06396198,6.02096928801329,0.66036,0.130491225,0.051678263250253494
MAR,2024,Middle East,Lower-middle,4153.1943359375,75.493,6.06396198,6.02096928801329,0.66036,0.128605125,0.04800424842375065
MEX,1995,Latin America,Upper-middle,4183.87847727479,70.703,4.24436522,3.49746990203857,0.23838,0.1285691,0.15962283380824102
MEX,1996,Latin America,Upper-middle,4674.36792733681,71.088,4.24436522,3.3911066055297834,0.23838,0.2529345,0.07366747944210753
MEX,1997,Latin America,Upper-middle,5567.35599516667,71.472,4.24436522,3.284743309020997,0.26404,0.23814495,0.12774128202343205
MEX,1998,Latin America,Upper-middle,5832.69342004468,71.792,4.24436522,3.17838001251221,0.28519,0.2842198,0.11002632538182243
MEX,1999,Latin America,Upper-middle,6499.97182950425,72.203,4.24436522,3.36164999008179,0.32719,0.19499117500000002,0.12483594116763476
MEX,2000,Latin America,Upper-middle,7524.0271380091,72.562,4.24436522,3.80870008468628,0.29205,0.149170675,0.0630838600403397
MEX,2001,Latin America,Upper-middle,7952.76479510706,72.912,4.58201361,4.0313401222229,0.30815,0.143196925,0.11811394840730075
MEX,2002,Latin America,Upper-middle,7983.03398381759,73.106,4.83042812,4.24307012557983,0.33745,0.373682075,0.04708885339124853
