country_iso3,year,wui,wui_volatility
ISR,2010,0.09136915,0.08018231568637813
ISR,2011,0.17348875,0.009022306509424292
ISR,2012,0.14364264999999998,0.0895187483176755
ISR,2013,0.212571425,0.17363721883788577
ISR,2014,0.2174539,0.0941186470942218
ISR,2015,0.1173937,0.056262793308426005
ISR,2016,0.10493015,0.12908518433139413
ISR,2017,0.144043525,0.050565317748589626
ISR,2018,0.16504639999999998,0.1326050835498901
ISR,2019,0.2898825,0.11305568200537289
ISR,2020,0.181532525,0.08432127107669314
ISR,2021,0.13103652500000001,0.08941475197331347
ISR,2022,0.20120112499999998,0.04121596842878377
ISR,2023,0.218855625,0.11216851797723443
ISR,2024,0.229898125,0.04351706703469915
ITA,1995,0.12983899999999998,0.10342721434654743
ITA,1996,0.1037932,0.09231378892303506
ITA,1997,0.21637805000000002,0.17548528707135727
ITA,1998,0.12024475,0.05215691807437117
ITA,1999,0.042787925000000004,0.028625805176375974
ITA,2000,0.097905575,0.04151048585023427
ITA,2001,0.12367752500000001,0.05077334662808661
ITA,2002,0.325888025,0.3110532969303104
ITA,2003,0.23698745,0.209353821129008
ITA,2004,0.38914597500000003,0.1711417895578668
ITA,2005,0.262198225,0.20056513896872133
ITA,2006,0.1140529,0.09159790105520979
ITA,2007,0.145880925,0.09943381307728859
ITA,2008,0.02476965,0.0495393
ITA,2009,0.050906125,0.10181225
ITA,2010,0.10813357500000001,0.1079748357319851
ITA,2011,0.187957075,0.22886170361761235
ITA,2012,0.450709325,0.18551645827619315
ITA,2013,0.320874325,0.2572161027915421
ITA,2014,0.212768075,0.10870847236983189
ITA,2015,0.227256825,0.14074140942841176
ITA,2016,0.3774767,0.11847215610966712
ITA,2017,0.3789798,0.09817214040921522
ITA,2018,0.28155595,0.0938355890768707
ITA,2019,0.45738565000000003,0.28119585570869166
ITA,2020,0.328735125,0.2027145346581472
ITA,2021,0.13590839999999998,0.054726189448380196
ITA,2022,0.32163664999999997,0.02244005552882317
ITA,2023,0.11312215,0.10799089260514828
ITA,2024,0.138155325,0.05651342714508207
JPN,1995,0.0535546,0.040157799170854304
JPN,1996,0.085163425,0.04865349896916459
JPN,1997,0.0404235,0.052063740237712465
JPN,1998,0.045516799999999996,0.06422439143565316
JPN,1999,0.1230609,0.09052352046229016
JPN,2000,0.148391825,0.06913474408232931
JPN,2001,0.29496175,0.06502337776505206
JPN,2002,0.11525629999999999,0.16078312685714258
JPN,2003,0.25416335,0.19317233027832081
JPN,2004,0.08629890000000001,0.06785496197100598
JPN,2005,0.1418671,0.11648812963133481
JPN,2006,0.08627415,0.03360506715050574
JPN,2007,0.148253825,0.08176841743621127
JPN,2008,0.322201825,0.04465498881300014
JPN,2009,0.158768925,0.1320098485071821
JPN,2010,0.15912785000000002,0.1359246133980769
JPN,2011,0.28456285000000003,0.14553307597336765
JPN,2012,0.33063635,0.10437845666913263
JPN,2013,0.15409045,0.19181104751516095
JPN,2014,0.122302925,0.04947134267380629
JPN,2015,0.1378596,0.09559351438666396
JPN,2016,0.16174185000000002,0.10494392312349486
JPN,2017,0.05324235,0.06723169525005797
JPN,2018,0.08460965,0.08452893580269816
JPN,2019,0.20518182499999998,0.056656724773520926
JPN,2020,0.24763912500000002,0.15521456556413288
JPN,2021,0.08994427499999999,0.03700918096043872
JPN,2022,0.20128935,0.0958704895233669
JPN,2023,0.0901821,0.0764924837136739
JPN,2024,0.033663225,0.06732645
KEN,1995,0.017196325,0.03439265
KEN,1996,0.040730075000000004,0.04703125055048505
KEN,1997,0.04343375,0.05038964664482179
KEN,1998,0.045739825,0.052845293970631854
KEN,1999,0.08886245,0.08857209092430489
KEN,2000,0.0,0.0
KEN,2001,0.23280385,0.10995598460446193
KEN,2002,0.47821830000000004,0.5156006893140078
KEN,2003,0.240905625,0.13064441418408404
KEN,2004,0.46646227500000004,0.17807959192826064
KEN,2005,0.536352625,0.1440868702951192
KEN,2006,0.33036855,0.07811035097034197
KEN,2007,0.33658185,0.05600178666134976
KEN,2008,0.255266,0.1055685395230353
KEN,2009,0.1783438,0.05513321285154106
KEN,2010,0.25988690000000003,0.13599679618258168
KEN,2011,0.23914565,0.19958423188633082
KEN,2012,0.31742485,0.131642496137924
KEN,2013,0.4185879,0.22621731577096396
KEN,2014,0.270560925,0.1799993000462201
KEN,2015,0.3555673,0.21677338563721332
KEN,2016,0.422445525,0.22081036266803505
KEN,2017,0.812926875,0.24135455563199099
KEN,2018,0.444000475,0.19309936162841787
KEN,2019,0.19362457500000002,0.18587186783386336
KEN,2020,0.373188325,0.08934646750865885
KEN,2021,0.345821775,0.09114317307754048
KEN,2022,0.43695075,0.1481336649212348
KEN,2023,0.10237969999999999,0.014970408436868601
KEN,2024,0.290360725,0.19906751844216702
KOR,1995,0.055946050000000004,0.09311493415918845
KOR,1996,0.049682050000000005,0.033810808381985386
KOR,1997,0.065044975,0.09342436015837893
KOR,1998,0.1337707,0.15576766171202971
KOR,1999,0.11314070000000001,0.09933167631368489
KOR,2000,0.11348849999999999,0.07635404603900613
KOR,2001,0.33885675000000004,0.17978384983307963
KOR,2002,0.34467895,0.1941674747851881
KOR,2003,0.49543564999999995,0.0476148831605203
KOR,2004,0.30618735,0.14703397457341846
KOR,2005,0.10526194999999999,0.027154154974699547
KOR,2006,0.2429757,0.21625077336797355
KOR,2007,0.37059002500000005,0.3716906163728949
KOR,2008,0.333449975,0.04350203350659789
KOR,2009,0.29470450000000004,0.169811524506397
KOR,2010,0.31073015,0.08481219920453661
KOR,2011,0.24338237499999998,0.0889675943502792
KOR,2012,0.485748825,0.03399813483142621
KOR,2013,0.0781367,0.06879703293684498
KOR,2014,0.30506395000000003,0.21697584608242304
KOR,2015,0.131674675,0.05077984907745557
KOR,2016,0.0699741,0.1399482
KOR,2017,0.06248165,0.04168063919955323
KOR,2018,0.09379905,0.07355234624250043
KOR,2019,0.116947325,0.1350624343404036
KOR,2020,0.08753820000000001,0.09290109054928616
KOR,2021,0.11301549999999999,0.09846869664747947
KOR,2022,0.17914380000000002,0.0703747103447917
KOR,2023,0.11853485,0.1049012220333173
KOR,2024,0.06423915,0.07418734089679092
KWT,1995,0.080472725,0.11732565728465293
KWT,1996,0.0480021,0.05542956800667553
KWT,1997,0.03155575,0.036454745611282674
KWT,1998,0.0,0.0
KWT,1999,0.01874345,0.0374869
KWT,2000,0.1004674,0.07251871581198883
