country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,govt_effectiveness,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp,researchers_per_million,researchers_per_million_imputed,govt_effectiveness_imputed
ISR,2019,6.06899976730347,44250.6313628073,1.28858661651611,7.20701885,82.8048780487805,5.35528,,True,False
ISR,2020,6.51824998855591,44575.5719045492,1.0519632101059,7.74801874,82.6487804878049,5.83209,,True,False
ISR,2021,6.16727018356323,52270.9040241956,1.25080215930939,7.83961058,82.5,5.75725,,True,False
ISR,2022,5.93291997909546,54949.621556429,1.23610758781433,7.12004995,82.7,6.17831,,True,False
ISR,2023,,52003.7200729997,1.1453697681427,7.09822369,83.1951219512195,6.34589,,True,False
ISR,2024,,54176.6844383302,1.1453697681427,,83.1975609756098,,,True,True
ITA,1995,4.3087100982666,20712.1798690324,0.840325474739075,,78.1707317073171,,1337.61364,True,True
ITA,1996,4.43967008590698,23122.9337219116,0.840325474739075,,78.5219512195122,0.94421,1337.61364,False,False
ITA,1997,,21883.9872666651,0.840325474739075,,78.8243902439024,0.98522,1148.96073,False,True
ITA,1998,4.44093990325928,22365.1837644545,0.829069972038269,,78.9756097560976,1.00275,1142.51929,False,False
ITA,1999,4.50165987014771,22049.9990620261,0.829069972038269,,79.4243902439024,0.97865,1137.5056,False,True
ITA,2000,4.27996015548706,20190.0035636084,0.72274261713028,7.54701233,79.7780487804878,1.00104,1154.70198,False,False
ITA,2001,4.63416004180908,20570.4385917862,0.72274261713028,7.71115828,80.1268292682927,1.03714,1164.25597,False,True
ITA,2002,4.41520977020264,22451.3964379368,0.753255426883698,7.83638906,80.2292682926829,1.07704,1242.88215,False,False
ITA,2003,4.52654981613159,27577.5700319855,0.743869483470917,7.80670929,79.9829268292683,1.05539,1222.71837,False,False
ITA,2004,4.37002992630005,31348.1901841445,0.628187000751495,8.13726902,80.7804878048781,1.04662,1242.48468,False,False
ITA,2005,4.22292995452881,32062.723833669,0.556203484535217,8.30906773,80.7829268292683,1.04057,1412.59398,False,False
ITA,2006,4.50464010238647,33537.1286994269,0.35609769821167,8.39791012,81.2829268292683,1.07903,1507.90404,False,False
ITA,2007,4.08763980865479,37826.1754554823,0.191648334264755,8.10167217,81.4341463414634,1.12421,1579.89282,False,False
ITA,2008,4.37188005447388,40828.5795580937,0.272778868675232,8.50157547,81.4853658536585,1.15548,1613.51417,False,False
ITA,2009,4.50414991378784,37099.6133958219,0.417277067899704,8.91290951,81.6365853658537,1.21261,1703.84695,False,False
ITA,2010,4.31626987457275,35856.8625485539,0.467300355434418,8.87928963,82.0365853658537,1.21296,1722.66807,False,False
ITA,2011,4.09431982040405,38432.3742820019,0.403479129076004,8.728508,82.1878048780488,1.19531,1760.64483,False,False
ITA,2012,4.03481006622315,34854.3949441965,0.447511166334152,8.7983427,82.2390243902439,1.25559,1831.34278,False,False
ITA,2013,4.12192010879517,35701.6746002376,0.532426714897156,8.7897644,82.690243902439,1.29425,1916.30366,False,False
ITA,2014,4.04026985168457,36028.3494022349,0.472872227430344,8.85913563,83.090243902439,1.33148,1947.34437,False,False
ITA,2015,4.05422019958496,30639.8829751432,0.49019667506218,8.84596729,82.5439024390244,1.33213,2075.80841,False,False
ITA,2016,3.795490026474,31391.5692898108,0.544244647026062,8.72043991,83.2439024390244,1.35915,2209.59265,False,False
ITA,2017,4.02662992477417,32844.115660604,0.491924196481705,8.69060516,82.9463414634147,1.36393,2322.42382,False,False
ITA,2018,4.24094009399414,34904.1081923834,0.408853262662888,8.65467453,83.3463414634146,1.41934,2524.31271,False,False
ITA,2019,4.07843017578125,33812.788724868,0.450929790735245,8.61536789,83.4975609756098,1.45558,2670.65345,False,False
ITA,2020,4.41803979873657,32091.4866621366,0.360754579305649,9.5643034,82.1951219512195,1.49869,2614.68181,False,False
ITA,2021,4.17118978500366,36852.5425414951,0.325260877609253,9.28164482,82.6463414634146,1.41065,2658.8949,False,False
ITA,2022,4.06775999069214,35653.9042103495,0.448645293712616,8.85022926,82.7,1.36563,2795.53412,False,False
ITA,2023,,39277.0838783918,0.611036896705627,8.40559483,83.3512195121951,1.37935,2855.12509,False,False
ITA,2024,,40385.3413957669,0.611036896705627,8.44437313,83.9512195121951,,2855.12509,True,True
JPN,1995,3.40211009979248,44197.6191013908,0.910290777683258,,79.5360975609756,,4906.38735,True,True
JPN,1996,,39150.0396308089,0.910290777683258,,80.219756097561,2.64303,4906.38735,False,False
JPN,1997,,35638.2319556941,0.910290777683258,,80.4241463414634,2.72177,4959.03285,False,True
JPN,1998,3.29797005653381,32423.7556133801,1.01681685447693,,80.5014634146342,2.82745,5164.5008,False,False
JPN,1999,3.37812995910644,36610.1683163197,1.01681685447693,,80.4609756097561,2.84672,5201.03384,False,True
JPN,2000,3.46011996269226,39169.3595701504,1.14183568954468,7.03456163,81.0760975609756,2.85841,5102.41299,False,False
JPN,2001,3.40082001686096,34406.1824638092,1.14183568954468,7.23947906,81.4163414634146,2.92348,5136.2064,False,True
JPN,2002,3.40898990631104,32820.7936433254,1.0168479681015,7.35235405,81.6907317073171,2.96514,4891.16889,False,False
JPN,2003,3.46662998199463,35387.0374203599,1.15746104717255,7.48654842,81.76,2.99319,5113.02549,False,False
JPN,2004,3.42611002922058,38298.9801712303,1.34332299232483,7.53518438,82.030243902439,2.98125,5117.27802,False,False
JPN,2005,3.31493997573852,37812.8950199948,1.28548622131348,7.65818596,81.9551219512195,3.13092,5322.47485,False,False
JPN,2006,3.27667999267578,35991.546002862,1.5849609375,7.68688869,82.3219512195122,3.22766,5352.83117,False,False
JPN,2007,3.27934002876282,35779.0245416427,1.44125950336456,7.77935696,82.5070731707317,3.29257,5344.2381,False,False
JPN,2008,3.27241992950439,39876.3039685725,1.45174884796143,8.08909321,82.5875609756098,3.29224,5125.12165,False,False
JPN,2009,,41308.9968370512,1.45010435581207,8.9587822,82.9314634146342,3.1959,5114.01193,False,False
JPN,2010,3.59951996803284,44968.1562349739,1.52235090732574,9.0630064,82.8426829268293,3.10495,5117.18164,False,False
JPN,2011,3.60526990890503,48760.0789494211,1.46691274642944,10.48780155,82.5912195121951,3.20537,5123.33234,False,False
JPN,2012,3.41945004463196,49145.2804308193,1.40798962116241,10.67169094,83.0960975609756,3.1737,5048.63399,False,False
JPN,2013,3.40874004364014,40898.6478964744,1.61050939559937,10.67438698,83.3319512195122,3.27895,5166.83422,False,False
JPN,2014,3.41529989242554,38475.3952461838,1.80541300773621,10.7290144,83.5878048780488,3.36788,5351.53211,False,False
JPN,2015,3.31221008300781,34960.6393843385,1.75316548347473,10.74969959,83.7939024390244,3.24071,5198.48902,False,False
JPN,2016,3.14643001556396,39375.4731620781,1.78482556343079,10.65891552,83.9848780487805,3.10665,5232.70894,False,False
JPN,2017,3.13057994842529,38834.0529341227,1.57989025115967,10.65627098,84.099756097561,3.16636,5319.83455,False,False
JPN,2018,3.07782006263733,39751.1330982711,1.63458871841431,10.73988247,84.2109756097561,3.2192,5339.51713,False,False
JPN,2019,3.15533995628357,40415.9567649547,1.55003654956818,10.96998405,84.3563414634146,3.21824,5376.11987,False,False
JPN,2020,3.30628991127014,40028.7341726762,1.5473005771637,11.44974613,84.56,3.26556,5450.44287,False,False
JPN,2021,3.33663988113403,40094.5599795288,1.36116814613342,12.08108234,84.4456097560976,3.27383,5589.76698,False,False
JPN,2022,,34065.6438962526,1.61941540241241,12.32275677,83.9963414634146,3.40053,5629.79566,False,False
JPN,2023,,33836.1756271617,1.63126504421234,10.73979473,84.0412195121951,3.44125,5608.63075,False,False
JPN,2024,,32487.0778047567,1.63126504421234,,84.0363414634146,,5608.63075,True,True
KEN,1995,,340.064842175429,-0.5208500623703,,55.856,,56.1911,True,True
KEN,1996,,440.527078880876,-0.5208500623703,,55.575,,56.1911,True,False
KEN,1997,,466.723814611399,-0.5208500623703,,55.478,,56.1911,True,True
KEN,1998,,487.883239905452,-0.490328997373581,,55.568,,56.1911,True,False
KEN,1999,5.32324981689453,433.721235701305,-0.490328997373581,,55.866,,56.1911,True,True
KEN,2000,5.1867299079895,414.626365130846,-0.62007862329483,3.62451434,56.084,,56.1911,True,False
KEN,2001,5.20621013641357,410.700452474814,-0.62007862329483,3.74002314,56.501,,56.1911,True,True
KEN,2002,6.17199993133545,402.936385605382,-0.756493151187897,3.82159472,56.759,,56.1911,True,False
KEN,2003,6.49428987503052,442.898457253405,-0.705886006355286,4.03365707,57.369,,56.1911,True,False
KEN,2004,6.79693984985352,463.662781300121,-0.666135549545288,4.21159506,57.947,,56.1911,True,False
KEN,2005,7.3356499671936,523.456312433863,-0.709110260009766,4.2174139,58.51,,56.1911,True,False
KEN,2006,7.04981994628906,699.80237063381,-0.655459582805634,5.0134387,59.059,,56.1911,True,False
KEN,2007,,840.201439476765,-0.529211044311523,5.12358475,59.407,0.35521,56.1911,False,False
KEN,2008,,915.54435473604,-0.624475121498108,5.19050598,59.955,,56.1911,True,False
KEN,2009,,1047.9678324485,-0.664479374885559,5.29172945,60.483,,56.1911,True,False
KEN,2010,4.81548976898193,1091.51873101194,-0.582948446273804,5.38849831,60.915,0.69222,226.90023,False,False
KEN,2011,4.70012998580933,1096.14499807675,-0.578526675701141,5.20212841,61.283,,226.90023,True,False
KEN,2012,4.93122005462646,1285.00536171512,-0.540134847164154,5.0180583,61.537,,226.90023,True,False
KEN,2013,4.83721017837524,1370.87885214659,-0.477865993976593,4.93100405,61.729,,226.90023,True,False
KEN,2014,4.7172999382019,1482.81566253497,-0.358901530504227,4.91267347,61.99,,226.90023,True,False
KEN,2015,4.74349021911621,1489.11959777284,-0.393976986408234,4.76439571,62.279,,226.90023,True,False
KEN,2016,4.89518022537231,1554.12610314423,-0.402430564165115,4.75429106,62.526,,226.90023,True,False
KEN,2017,4.96308994293213,1667.48447230835,-0.390356600284576,3.98597503,62.725,,226.90023,True,False
KEN,2018,5.10761976242065,1836.45275528993,-0.493653178215027,4.09903383,62.825,,226.90023,True,False
KEN,2019,5.37359210998097,1960.40808854893,-0.441659152507782,4.36874676,62.939,,226.90023,True,False
KEN,2020,5.04574892454155,1927.66459027849,-0.399473369121552,4.49248886,61.596,,226.90023,True,False
KEN,2021,4.89040202257195,2061.35622089594,-0.325909495353699,4.56992722,61.225,,226.90023,True,False
KEN,2022,4.51101801829815,2109.56288513137,-0.329533219337463,4.32241869,63.549,0.40651,168.60477,False,False
KEN,2023,3.96229304413263,1942.58802756191,-0.303605198860168,4.35172892,63.646,0.80427,200.85225,False,False
KEN,2024,4.02242346098974,2132.43452097647,-0.303605198860168,,63.834,0.81069,384.02423,False,True
KOR,1995,2.83677005767822,13001.7205867019,0.473718643188477,,73.7,,2186.08907,True,True
KOR,1996,,13864.9376534518,0.473718643188477,,74.1512195121951,2.14233,2186.08907,False,False
KOR,1997,,12821.6893313675,0.473718643188477,,74.6024390243903,2.17409,2241.82853,False,True
KOR,1998,3.24974989891052,8583.43557499234,0.290556639432907,,75.0048780487805,2.03608,2007.82828,False,False
KOR,1999,3.25048995018005,11062.5019301357,0.290556639432907,,75.409756097561,1.9446,2161.01827,False,True
KOR,2000,,12710.2995795579,0.613540589809418,3.71794796,75.909756097561,2.0494,2324.08478,False,False
KOR,2001,,11981.4828218758,0.613540589809418,4.16983986,76.4121951219512,2.19872,2906.71111,False,True
KOR,2002,,13642.9424537101,0.796305239200592,3.90854764,76.7658536585366,2.13042,3007.81714,False,False
KOR,2003,,15211.5483770422,0.790476679801941,4.46640348,77.2146341463415,2.19657,3189.96825,False,False
KOR,2004,,17121.6301633201,0.815539062023163,4.43287992,77.6658536585366,2.35292,3281.04385,False,False
KOR,2005,,20167.0474902506,0.924596548080444,4.65223551,78.1682926829268,2.42725,3763.23464,False,False
KOR,2006,,22609.7059431449,0.984207689762115,4.95851803,78.6682926829268,2.61516,4173.2456,False,False
KOR,2007,,25078.4853957105,1.20181572437286,4.95834208,79.119512195122,2.75895,4614.74679,False,False
KOR,2008,,22252.3125108061,0.994486927986145,5.24642324,79.5170731707317,2.86774,4892.49313,False,False
KOR,2009,,19937.3029137734,1.02481615543365,5.68525076,79.9682926829268,3.02145,5037.92837,False,False
KOR,2010,,24071.2620526362,1.14781618118286,5.79390717,80.1170731707317,3.17913,5429.43919,False,False
KOR,2011,,26175.2398553363,1.15794360637665,5.90292883,80.5682926829269,3.44409,5908.82443,False,False
KOR,2012,,26600.5477433903,1.07450258731842,5.9576025,80.819512195122,3.6852,6393.34374,False,False
KOR,2013,,28449.3591104972,1.0034042596817,6.06858635,81.2707317073171,3.77487,6457.88851,False,False
